mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
5806,9,-9,5794.45,1.0,0.0,0.0,0.0,0.5,0.5,0,1.3333333333333333,grd,0
6079,10,-10,0,0,0.2,0.2,-0.2,0.5,0.5,1,1.3333333333333333,lam,1
6085,9,-9,6100.0,1.0,1.1,0.8,-0.8,1.5,0.5,1,1.3333333333333333,lam,1
6249,11,-11,0,0,8.9,3.9,-4.0,0.5,0.5,1,1.3333333333333333,rho,1
6271,15,-15,0,0,6.3,2.7,-2.7,0.5,1.5,1,1.3333333333333333,rho,1
6255,11,-11,0,0,68.2,29.2,-29.8,1.5,0.5,1,1.3333333333333333,rho,1
6277,13,-13,0,0,27.1,11.9,-11.9,1.5,1.5,1,1.3333333333333333,rho,1
6287,15,-15,0,0,71.5,31.0,-30.6,2.5,1.5,1,1.3333333333333333,rho,1
6354,13,-13,6327.0,1.0,1.9,1.0,-1.1,1.5,0.5,2,1.3333333333333333,lam,2
6364,13,-14,6333.0,1.0,1.6,0.7,-0.7,2.5,0.5,2,1.3333333333333333,lam,2
6360,13,-13,0,0,0.2,0.1,-0.1,0.5,0.5,0,1.3333333333333333,rpl,2
6699,19,-19,0,0,6.1,2.6,-2.6,0.5,0.5,0,1.3333333333333333,rpr,2
6524,16,-16,0,0,47.4,20.9,-20.9,1.5,0.5,2,1.3333333333333333,mix,2
6534,17,-17,0,0,111.2,47.4,-49.0,2.5,0.5,2,1.3333333333333333,mix,2
6540,22,-22,0,0,21.2,9.4,-9.4,0.5,1.5,2,1.3333333333333333,mix,2
6546,19,-19,0,0,69.5,30.6,-30.9,1.5,1.5,2,1.3333333333333333,mix,2
6556,17,-17,0,0,104.1,45.7,-45.7,2.5,1.5,2,1.3333333333333333,mix,2
6570,22,-22,0,0,119.4,51.7,-52.0,3.5,1.5,2,1.3333333333333333,mix,2
6526,16,-16,0,0,0.3,0.1,-0.2,0.5,0.5,1,1.3333333333333333,mix,2
6532,16,-16,0,0,2.1,0.9,-0.9,1.5,0.5,1,1.3333333333333333,mix,2
6548,18,-19,0,0,0.2,0.1,-0.1,0.5,1.5,1,1.3333333333333333,mix,2
6554,17,-17,0,0,1.0,0.4,-0.4,1.5,1.5,1,1.3333333333333333,mix,2
6564,19,-19,0,0,2.6,1.2,-1.2,2.5,1.5,1,1.3333333333333333,mix,2
6558,17,-18,0,0,34.0,14.9,-14.8,1.5,1.5,0,1.3333333333333333,mix,2
6530,16,-16,0,0,32.4,14.0,-14.0,0.5,0.5,0,1.3333333333333333,mix,2
6693,20,-19,0,0,133.1,57.0,-57.1,1.5,0.5,2,1.3333333333333333,rho,2
6703,20,-20,0,0,100.6,43.9,-44.5,2.5,0.5,2,1.3333333333333333,rho,2
