mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
5925,6,-6,5935.02,1.0,0.0,0.0,0.0,0.5,0.5,0,3.3333333333333335,grd,0
5954,7,-7,5953.82,1.0,0.2,0.1,-0.1,1.5,1.5,0,3.3333333333333335,grd,0
6198,7,-7,0,0,3.1,1.3,-1.3,0.5,0.5,1,3.3333333333333335,lam,1
6221,10,-10,0,0,3.8,1.6,-1.6,0.5,1.5,1,3.3333333333333335,lam,1
6204,7,-7,0,0,30.5,13.2,-13.1,1.5,0.5,1,3.3333333333333335,lam,1
6227,7,-7,0,0,7.9,3.6,-3.7,1.5,1.5,1,3.3333333333333335,lam,1
6237,10,-10,6227.85,1.0,32.7,13.9,-13.9,2.5,1.5,1,3.3333333333333335,lam,1
6367,9,-9,0,0,205.1,89.7,-88.1,0.5,0.5,1,3.3333333333333335,rho,1
6373,10,-10,0,0,100.2,43.8,-43.7,1.5,0.5,1,3.3333333333333335,rho,1
6473,12,-12,0,0,14.0,6.7,-6.7,1.5,0.5,2,3.3333333333333335,lam,2
6483,13,-13,0,0,31.2,15.6,-15.5,2.5,0.5,2,3.3333333333333335,lam,2
6490,17,-18,0,0,25.9,13.8,-13.7,0.5,1.5,2,3.3333333333333335,lam,2
6496,14,-14,0,0,36.9,17.2,-17.7,1.5,1.5,2,3.3333333333333335,lam,2
6506,11,-11,0,0,48.3,21.4,-21.7,2.5,1.5,2,3.3333333333333335,lam,2
6520,18,-18,0,0,49.1,22.6,-23.1,3.5,1.5,2,3.3333333333333335,lam,2
6479,12,-12,0,0,1.6,0.8,-0.8,0.5,0.5,0,3.3333333333333335,rpl,2
6508,12,-11,0,0,2.7,1.2,-1.2,1.5,1.5,0,3.3333333333333335,rpl,2
6818,19,-19,0,0,20.1,8.9,-9.0,0.5,0.5,0,3.3333333333333335,rpr,2
6847,19,-19,0,0,21.2,9.2,-9.3,1.5,1.5,0,3.3333333333333335,rpr,2
6642,15,-15,0,0,241.0,104.6,-105.8,1.5,0.5,2,3.3333333333333335,mix,2
6652,16,-16,0,0,120.1,52.2,-52.7,2.5,0.5,2,3.3333333333333335,mix,2
6644,15,-15,0,0,2.7,1.2,-1.2,0.5,0.5,1,3.3333333333333335,mix,2
6650,16,-16,0,0,3.1,1.4,-1.4,1.5,0.5,1,3.3333333333333335,mix,2
6648,15,-15,0,0,61.3,26.6,-26.9,0.5,0.5,0,3.3333333333333335,mix,2
6812,19,-19,0,0,329.0,144.1,-143.2,1.5,0.5,2,3.3333333333333335,rho,2
6822,20,-20,0,0,214.0,92.1,-94.6,2.5,0.5,2,3.3333333333333335,rho,2
6829,22,-22,0,0,555.5,256.3,-251.7,0.5,1.5,2,3.3333333333333335,rho,2
6835,19,-19,0,0,377.6,164.7,-163.6,1.5,1.5,2,3.3333333333333335,rho,2
6845,19,-18,0,0,200.8,87.5,-85.7,2.5,1.5,2,3.3333333333333335,rho,2
6859,24,-24,0,0,360.8,162.8,-160.7,3.5,1.5,2,3.3333333333333335,rho,2
