mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
5613,9,-9,5619.6,1.0,0.0,0.0,0.0,0.5,0.5,0,1.3333333333333333,grd,0
5918,8,-8,5912.2,1.0,0.0,0.0,0.0,0.5,0.5,1,1.3333333333333333,lam,1
5924,8,-8,5920.1,1.0,0.0,0.0,0.0,1.5,0.5,1,1.3333333333333333,lam,1
6114,10,-10,0,0,68.7,29.4,-29.6,0.5,0.5,1,1.3333333333333333,rho,1
6137,14,-14,0,0,36.9,15.7,-15.9,0.5,1.5,1,1.3333333333333333,rho,1
6120,10,-10,0,0,87.5,37.7,-37.4,1.5,0.5,1,1.3333333333333333,rho,1
6143,12,-12,0,0,132.5,56.8,-57.4,1.5,1.5,1,1.3333333333333333,rho,1
6153,14,-14,0,0,77.0,33.4,-33.8,2.5,1.5,1,1.3333333333333333,rho,1
6225,12,-12,6146.2,1.0,13.3,6.7,-6.8,1.5,0.5,2,1.3333333333333333,lam,2
6235,13,-13,6152.5,1.0,17.9,14.0,-13.3,2.5,0.5,2,1.3333333333333333,lam,2
6231,12,-12,0,0,1.1,0.7,-0.7,0.5,0.5,0,1.3333333333333333,rpl,2
6623,20,-20,0,0,4.5,2.1,-2.0,0.5,0.5,0,1.3333333333333333,rpr,2
6421,16,-16,0,0,68.8,30.1,-30.4,1.5,0.5,2,1.3333333333333333,mix,2
6431,17,-17,0,0,111.8,49.4,-49.2,2.5,0.5,2,1.3333333333333333,mix,2
6437,22,-22,0,0,35.9,15.9,-15.8,0.5,1.5,2,1.3333333333333333,mix,2
6443,19,-19,0,0,98.4,42.9,-42.8,1.5,1.5,2,1.3333333333333333,mix,2
6454,17,-17,0,0,131.5,57.1,-57.5,2.5,1.5,2,1.3333333333333333,mix,2
6468,22,-22,0,0,126.0,56.0,-57.1,3.5,1.5,2,1.3333333333333333,mix,2
6423,15,-16,0,0,0.6,0.3,-0.2,0.5,0.5,1,1.3333333333333333,mix,2
6429,16,-16,0,0,1.8,0.8,-0.8,1.5,0.5,1,1.3333333333333333,mix,2
6445,18,-18,0,0,0.3,0.1,-0.1,0.5,1.5,1,1.3333333333333333,mix,2
6452,17,-17,0,0,1.2,0.6,-0.6,1.5,1.5,1,1.3333333333333333,mix,2
6462,19,-19,0,0,2.4,1.1,-1.1,2.5,1.5,1,1.3333333333333333,mix,2
6456,17,-17,0,0,32.8,14.2,-14.5,1.5,1.5,0,1.3333333333333333,mix,2
6427,16,-16,0,0,30.2,13.1,-13.2,0.5,0.5,0,1.3333333333333333,mix,2
6617,20,-20,0,0,135.7,59.2,-59.2,1.5,0.5,2,1.3333333333333333,rho,2
6627,21,-22,0,0,190.6,83.7,-83.6,2.5,0.5,2,1.3333333333333333,rho,2
