mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
5804,8,-8,5813.1,1.0,4.0,2.1,-2.1,0.5,0.5,0,3.3333333333333335,grd,0
5832,8,-8,5837.03,1.0,10.3,4.9,-4.9,1.5,1.5,0,3.3333333333333335,grd,0
6108,10,-10,6096.9,1.0,24.5,10.7,-10.5,0.5,0.5,1,3.3333333333333335,lam,1
6131,13,-13,0,0,13.8,5.8,-5.9,0.5,1.5,1,3.3333333333333335,lam,1
6115,10,-9,0,0,86.4,36.8,-36.8,1.5,0.5,1,3.3333333333333335,lam,1
6137,10,-10,0,0,58.6,25.5,-25.1,1.5,1.5,1,3.3333333333333335,lam,1
6147,12,-12,0,0,98.6,42.2,-42.6,2.5,1.5,1,3.3333333333333335,lam,1
6305,13,-13,0,0,139.8,59.9,-59.6,0.5,0.5,1,3.3333333333333335,rho,1
6311,13,-13,0,0,133.2,58.0,-57.0,1.5,0.5,1,3.3333333333333335,rho,1
6415,15,-15,0,0,59.7,25.7,-25.9,1.5,0.5,2,3.3333333333333335,lam,2
6425,16,-16,0,0,134.4,57.3,-57.8,2.5,0.5,2,3.3333333333333335,lam,2
6431,21,-21,0,0,81.2,34.7,-35.5,0.5,1.5,2,3.3333333333333335,lam,2
6437,18,-18,0,0,110.0,46.8,-47.2,1.5,1.5,2,3.3333333333333335,lam,2
6448,15,-15,0,0,137.9,58.8,-59.5,2.5,1.5,2,3.3333333333333335,lam,2
6462,20,-20,0,0,150.4,66.9,-66.1,3.5,1.5,2,3.3333333333333335,lam,2
6421,15,-15,0,0,4.0,1.8,-1.7,0.5,0.5,0,3.3333333333333335,rpl,2
6450,15,-15,0,0,4.1,1.8,-1.8,1.5,1.5,0,3.3333333333333335,rpl,2
6814,23,-23,0,0,23.9,10.1,-10.2,0.5,0.5,0,3.3333333333333335,rpr,2
6842,24,-24,0,0,32.8,14.2,-13.9,1.5,1.5,0,3.3333333333333335,rpr,2
6611,19,-19,0,0,391.4,170.2,-168.9,1.5,0.5,2,3.3333333333333335,mix,2
6622,20,-20,0,0,261.7,116.8,-115.6,2.5,0.5,2,3.3333333333333335,mix,2
6613,19,-19,0,0,4.5,2.0,-2.0,0.5,0.5,1,3.3333333333333335,mix,2
6620,20,-19,0,0,4.9,2.2,-2.2,1.5,0.5,1,3.3333333333333335,mix,2
6618,19,-19,0,0,59.9,26.8,-26.6,0.5,0.5,0,3.3333333333333335,mix,2
6808,23,-23,0,0,568.0,248.6,-245.6,1.5,0.5,2,3.3333333333333335,rho,2
6818,25,-24,0,0,639.3,279.1,-280.6,2.5,0.5,2,3.3333333333333335,rho,2
6824,27,-27,0,0,1396.6,597.0,-599.2,0.5,1.5,2,3.3333333333333335,rho,2
6830,25,-25,0,0,765.0,326.9,-324.8,1.5,1.5,2,3.3333333333333335,rho,2
6840,23,-23,0,0,390.5,165.9,-166.7,2.5,1.5,2,3.3333333333333335,rho,2
6855,28,-28,0,0,1233.3,548.8,-556.7,3.5,1.5,2,3.3333333333333335,rho,2
